text,score,score_chr
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
Pfizer To Begin Testing COVID Pill On Young Children ,0,Neutral
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
vaccines against Covid19. The rest of Mark Zuckerberg's Metaverse chatter is fairy tales to lure people into the Metaverse. Puppet Mark Zuckerberg is doing everything he can to prove his loyalty to his Patrons (representatives of a secret world government). He knows perfectly,-1,Negative
"humanity to one billion peopleBill Gates is very active in this regard. And we think, where did the Covid-19 virus come from? Deadly covid-19 vaccines that kill a lot of people. For this reason, people refuse to be vaccinated. Anti-vaccination demonstrations are taking place",-3,Negative
Travel Insurance Might Not Cover COVID19 — Unless You Upgrade ,0,Neutral
 Well during COVID hysteria there were parents that put their sick child in the trunk… I don’t recommend it but maybe that is what the elites want?,0,Neutral
Pfizer To Begin Testing COVID Pill On Young Children ,0,Neutral
Pfizer To Begin Testing COVID Pill On Young Children The antiviral pill is currently authorized for people over the age of 12 ,0,Neutral
"    If Trump was still in office he would manage deals that would improve the economy and create an easier transition to green energy Biden did the opposite, lowest aproval ratings in history and killed more people during the Pandemic incentivizing profit per covid patient death.",2,Positive
  Have the tory scum caught up with those who scammed you out off billions on ppe and covid loans,-1,Negative
"    except if the guy in the car that hits you isnt wearing his seatbelt it doesn’t change your chances of survival.but if they guy standing next to you has covid, and isn’t wearing a mask, your chances of infection increase significantly.",-1,Negative
The demand for workers remained close to a record with 113M openings in Jan. as the U.S. economy moved past the disruptions of the Omicron Covid-19 variant. The number workers quitting jobs in Jan. fell slightly to 4.3 million. ,-1,Negative
" Amira Roess of  on COVID19 mask mandates: ""If an organization wants to avoid transmission and disruption to operations due to infection, then mask mandates could be warranted."" ",-2,Negative
 If you take the masks off you will   die with what is coming next is in Europe as I speak the AIDS VIRUS has mixed with covid and has become airborne you don't have to ha e sex to get you breathe you die do not listen to Doug Ford or his doctors  google it,-3,Negative
"   Bro its impossible to win a lawsuit against google Facebook or twitter even if you were 100 right But back to your point on censorship, the democrat administration is teaming up with social media companies to censor individuals who were correct about covid and its vaccines",2,Positive
"  678000 jobs38% unemplmntCOVID in straight declineBorder running smoothNew liberal SCOTUSBiden is respected--as he leads the world against Putin, tyranny, ; Russia. trump was mocked and laughed at by world leaders.",0,Neutral
Every household in Massachusetts can order a second set of free athome COVID-19 rapid antigen tests from the federal government. ,2,Positive
The COVID19 emergency declaration in Prince George's will be allowed to expire Wednesday at 5 p.m. Masks must be worn on public transit. ,-3,Negative
 I also have been v fatigued prob since COVID like you and these things r my lifeblood,0,Neutral
 What did you babble when Bush was pres and gas prices were as bad Heh?? What did you say when hospitals needed freezer trucks to store the dead during Trump's denial of Covid?,-4,Negative
What do we know about Covids impact on the brain | Eric Topol | The Guardian ,0,Neutral
"Having Covid19 linked to risk of economic hardship, study suggests | Poverty | The Guardian ",-3,Negative
Hong Kong puts mass testing on hold as COVID19 deaths rise ,0,Neutral
Pfizer To Begin Testing COVID Pill On Young Children The antiviral pill is currently authorized for people over the age of 12 ,0,Neutral
Pfizer To Begin Testing COVID Pill On Young Children ,0,Neutral
 Niggas out here stealing Covid samples so Im not surprised,-1,Negative
The antiviral pill is currently authorized for people over the age of 12 ,0,Neutral
Im still terrified of flying tbh like with covid I can't imagine traveling overseas for fun rn,2,Positive
Pfizer To Begin Testing COVID Pill On Young Children ,0,Neutral
The department of health have wasted 87 billions of tax payers money. Let that sink in. They all need to be sacked as well as every single MP that voted for this bullshit.   ,-2,Negative
"This is a powerful story Even as the government slowly moves to appease those who want to act as if COVID has disappeared, such action requires accepting a level of disease and death that we shouldn't accept and was likely avoidable. ",-1,Negative
   Really So you must know that statistically children are at higher risk from flu than covid right As per CDC lol. Your credentials mean jack shit if you done know that A; most kids have natural immunity already and B: kids without pre existing conditions are at near zero risk,-2,Negative
   The science says the flu is more deadly for kids than covid That’s the only science I need to know here,-1,Negative
   And C rates of myocarditis in people under 30 is higher than expected Even if you get vaccinated you can still be exposed to infection which nullifies the “higher risk from covid” argument,-2,Negative
  And what about the kids that got vaxxed and got covid anyways Lol,0,Neutral
BREAKING NEWS Faheem ruled out of 2nd Test due to Covid Postive.He missed the first test due to injury but joined the team from Day 2 of 1st Test.  ,-3,Negative
The politicians and businessmen say Covid is over masks off get back to work but the doctors who've been consistently right are saying things like this.It's not hard for me to choose who to believe. ,3,Positive
" 278464 Ohioans have died since the beginning of 2020.would love to someday learn how many of the 37,146 covid deaths were people who actually died of covid and how many people died of other causes and tested positive for covid at time of death",-2,Negative
Covid Austria suspends compulsory vaccination mandate   ,0,Neutral
  Nah the government is why covid happened in the first place Your compliance continues this nonsense.,-1,Negative
" WHAT A TYPICAL LIBERAL  HE CAUSED THE MENTAL HEALTH CRISIS AND THEN SAYS HES GOING TO FIX THE PROBLEM…THE BLOOD OF EVERY SUICIDE BECAUSE OF YOUR HYSTERICAL, UNSCIENTIFIC ; EVIL RESTRICTIONS…THERE IS A SPOT IN HELL WAITING FOR YOU  ��☠️!!!   ",-5,Very Negative
"  Are you really that out of touch with reality The NCBI NLM, NIH, Fauci, WHO, etc, knows the cures for Covid and have been suppressing them. Since at least March 2020. One of the govt studies was done back on August 22, 2005. DOCUMENTED!!!! Another 2015.",0,Neutral
Avoiding covid codie  ,0,Neutral
 It was actually covid you got Right at the end. Congrats,1,Positive
This is a really important article about Chiropractors spreading and capitalizing on anti Covid vaccines ..beware if this sector of anti healers! ,0,Neutral
um my friend who i hanged out w yesterday told that she has a fever and cough rn but her tests are still negative but now im scared ill get covid bc thats what it probably still is,-3,Negative
" Agreed But if Covid taught us anything, there’s an unfortunate amount of people that give more value to their money than to the life or death of another.",-2,Negative
COVID got alternate side parking out of here on my block I haven’t seen a street sweeper in 2 years.,0,Neutral
So hows my day going . Jodie’s chicken pox is getting bad.. Aiden has been in contact with someone with covid… Aiden has just tested positive for covid ..,0,Neutral
 while you are talking about masks can you please review all Covid restrictions placed on schools and the role that public health has in continuing to influence these rules ,0,Neutral
" These stats dont seem right 2 years of lost life expectancy? US life expectancy is around 80, so Covid would have to kill (to a 1st approx) 1.6% of Americans, or 5 million people. More since they’re older than avg.",-1,Negative
The same church that I grew up in and that kicked my mom out as a member last year because she wasnt attending is who my wife has to call this week Mom worked on Sundays and watched their videos during COVID but none of that mattered.,1,Positive
 I understand if its a choice or if you are actually sick but if its for the belief that covid will get you or mandates then its pointless.,-2,Negative
  Was Wuhan research funded by Dr FAUCI and US government that brought about the Covid not a biological weapon? Reason critically,0,Neutral
  How did you arrive at your records of casualties Mainstream media will destroy your sense of reasoning with their propagandist opinions Are you hearing about covid variants and vaccination again? War is not good but we understand the west wants to fight Russia by proxy.,0,Neutral
"     Hey   Ppl are fighting for the biomed research and social support needed for postviral illness - given the history of  research, we know a lot of effort is needed to turn the tanker a few degrees. Plse support if you can!",1,Positive
 YES NO NO PROBLEMFOR COVID GO,0,Neutral
 same but if it wasnt for his attitude when the pandemic was just starting the entire league and the entire world wouldn't realize how serious covid is. The entire world SHUT DOWN when Rudy contacted Covid.. thats why he will be in the history books.,0,Neutral
The library near me has free  home covid test  I really love that place,2,Positive
"When you lose money on every Covid patient you treat and people put off care that does make hospitals money hospitals are not making bank but losing their rear ends When your local community hospital closes, you will understand why.",-1,Negative
When you believe internet foolishness you believe nonsense like this  Hospitals are projected to have lost over a billion alone in 2021 due to Covid.  Covid is labor intensive and supply intensive.  Insurance and Medicare pays poorly and they run the show. ,-3,Negative
Insurance is also very strict and clue in they have ACH wire transfer rights to hospitals bank accounts  They don’t agree with the charge; they draft the funds back.  They also audit charts and records including tests.  You have to have a positive recent test for Covid.,0,Neutral
 My family and I followed every recommendation None of us have had covid and we’ve all continued to work outside the home throughout the pandemic. So there’s that…,2,Positive
WH.O. Bolsters Booster Endorsement but Still Emphasizes More Primary Shots   ,1,Positive
Mask mandates will soon be lifted in Canada  and could further divide Canadians  CBC News ,0,Neutral
" The Covid freedom movement is similar in class composition ideological variety and political dynamic that led to a successful rebellion against neo-Stalinist state autocracy in Eastern Europe three decades ago.  It is not something to be scared of.""",4,Positive
Exclusive The federal government paid hundreds of media companies to advertise the COVID19 vaccines while those same outlets provided positive coverage of the vaccines ,1,Positive
" Its protect suit I’m attending polling monitor in president election, and there’s a vote time for infected people(covid) so I should wear a protect suit in that time.",1,Positive
Apartment tour at 2 im ready to move Ghetto ass neighborhood! Fitness room look like a jail cell. They tricked us cuz it was COVID and we HAD to move due to mold issues. They lucky. But they won’t get another year outta motherfucking me,0,Neutral
 Shouldnt you be selfisolating if your dad has COVID?,0,Neutral
                                                  The ruling follows a lawsuit filed by a nonprofit organization called Public Health and Medical Professionals for Transparency which was formed to promote transparency of the COVID19 vaccine data used to secure Emergency Use,0,Neutral
" And the places UK borrowed money from during Covid lockdown making sure people could still pay bills etc, they could let UK off the debt or at least freeze interest.Remember when Labour tried to keep everyone happy with money and ended up nearly bankrupting the country.",-1,Negative
"   And look how strong and stable the economy is even after Brexit Covid etcthat's Tory management, slow and sensible progress rather than reckless spending that creates the need for austerity.Its like maxing out your credit and thinking ur a pimp sooner or later you gotta pay",3,Positive
" Learning to live with Covid SHOULD mean wear your masks keep social bubbles small, social distance and  . That’s how you live with a disease like Covid, NOT throw everything you know out the window and hope for the best. Wave 6 arriving this fall. ����",1,Positive
I graphed nearly every country in Europe definitely not all the really small ones and might be a moderately small one or two I forgot and these are the only ones I could find that ever reached a 7-day-avg per capita COVID death rate even approaching Hong Kong's right now... ,0,Neutral
"Selling my 2 Bad bunny tickets.For Thu, Mar 10.At Allstate Arena, Rosemont, because of covid-19 I'll not  be able to make it  to the concert and I’m giving both tickets cheap so HMU if you are interested thanks   ",-3,Negative
when u r suffering from covid and period cramp at the same time god i'm dying.....,-3,Negative
 Hi Adam Did you not venture to Brooklyn this year because of Covid concerns,-1,Negative
     More deaths under Biden Democrats can’t let Covid go. Borders crime inflation.Yupp all trump lol pathetic.,-1,Negative
"      passed into law with 45s signaturewith any rational train of thought you can't praise the COVID economic relief effort and blame the downstream consequences on the next guy in line for the job, but thanks for trying!",2,Positive
  Covid cases in classrooms are growing and the staff are worried about catching it as they may infect the vulnerable including possibly their parents.,-2,Negative
Masks help prevent the spread of SARSCoV-2. ,0,Neutral
 Dunns essay opened my eyes to how the struggles of disadvantaged groups have been magnified as a result of COVID19. She specifically addresses how refugees have suffered as the gap in healthcare accessibility has widened dramatically.,-3,Negative
Congress reaches deal on massive spending package with billions for COVID aid Ukraine ,0,Neutral
  Its covid mate,0,Neutral
"While the next spotlighthogging variant is still brewing, we can sketch out a subset of the cast of characters that could arise, and what it would take to fend off each one.""So... what comes next?",0,Neutral
" 2 Same as saying that the economic devastation in the last 2 years was due to Covid Also not true, that was done by the idiotic and useless Governments imposed Covid measures and restrictions.",-3,Negative
"News Roundup  Meta Facebook) Covid-19 ""Fact-Checkers"" Conflict of Inte... ",-1,Negative
Why does everyone suddenly have Covid again,0,Neutral
Darn I didnt have “Trade Covid panic porn for Ukrainian/Russian panic porn” on my 2022 bingo card...,-2,Negative
 says the SNP is clearly in denial about the extent of opposition to this unjustified powergrab' as fury grows over the plan to make emergency Covid laws permanent ,-4,Negative
SNP ministers risk provoking' court showdown over refusal to back down on 'unlawful' Covid laws ,-4,Negative
So living with covid includes just getting rid of masks The thing that is the very least we could be doing,0,Neutral
Well be living with covid alright.,1,Positive
"Mustread by : How did 1000  deaths a day - with barely time to grieve - become ""normal""? ",-1,Negative
"The NYT amp; others) is obsessed with making sure people aren’t scared of covid. Fear of something dangerous is intelligent. Fear may be unpleasant, but it’s a useful tool of survival. I’d rather get the straight story than have journalists soothe my emotions. ",-1,Negative
"coughAlex*cough*cole*cough*HamiltonI've not got Covid, I'm just allergic to LibDems ",-1,Negative
"   Sorry to hear about your brother  The point being made, I think, is that an awful lot of hospital cases are people being admitted for another condition and then picking up covid while there, or being tested on arrival, then testing positive whilst asymptomatic.",-1,Negative
"Celebrating the International Women Day  in  Thank you to all these powerful healthcare workers who have undergone the COVID19 pandemic reconciliating work, family and personal wellness. It has been a pleasure to hear your experiences ☺️ ",4,Positive
What???? Is this for real??,0,Neutral
 I uploaded the same vid twice once for my youtube members and another an unlisted one for my patrons You only flagged the one for my members for some reason. Yall claimed it was because I was spreading covid misinformation but yall failed to show me where said violation was,-2,Negative
You have a BETTER chance of staying alive playing Russianroulette than you have with hospital treatment for COVID! ,1,Positive
WH.O. Bolsters Booster Endorsement but Still Emphasizes More Primary Shots ,1,Positive
"COVID is over except in Hong Kong home to 75 million, where shelves are empty and people are dying in droves.",-1,Negative
 Anybody recognise the same inane Tory Waffle from   just substitute the word Covid to Refugee ; Ukraine and there you have it another TV interview script !  ,-1,Negative
Faheem Ashraf ruled out of 2nd Test  after testing positive for Covid19.He missed the 1st Test in Rawalpindi with a hamstring injury picked up towards the end of the PSL season.Reported by ESPNcricinfo ,-1,Negative
  Taiwan with a highly educated population that has been masking for decades had 853 covid deaths to dateThey have peer reviewed science that shows masks are highly effectiveIgnorance and lies influence the uneducated and gullible,-1,Negative
i dont miss 2020 at all not because of covid but because yall would not shut the fuck up about avatar,-2,Negative
Get your additional set of COVID tests ,0,Neutral
"  The Covid19 crisis was produced by American biological laboratories and laboratories in Ukraine, where the Russian forces found these laboratories and were overrun by Russian intelligence. ",-1,Negative
Pfizer To Begin Testing COVID Pill On Young Children ,0,Neutral
Pfizer To Begin Testing COVID Pill On Young Children ,0,Neutral
Pfizer To Begin Testing COVID Pill On Young Children ,0,Neutral
Pfizer To Begin Testing COVID Pill On Young Children ,0,Neutral
Pfizer To Begin Testing COVID Pill On Young Children ,0,Neutral
The antiviral pill is currently authorized for people over the age of 12 ,0,Neutral
60 of USA never even had Covid Other had 10-12 times they say. ,0,Neutral
" Could not agree more  its not just one thing, it’s corruption; incompetence; arrogance; bullying; xenophobia etc … from covid deaths to Ukrainian immigration and everything in between the tories have failed",-5,Very Negative
 Covid Facility at Ramleela Ground near LNJP hospital has shut down  All the 95 nursing officer posted at that facility terminated without any notice ?We hope that you will surely do something to save our job     ,0,Neutral
Dont she got Covid! � ,0,Neutral
 Im so glad you did because cant nobody afford to get sick with Covid right now,2,Positive
Doctors have confirmed that 13year-old Revnesh Kumar’s death was not related to the Covid-19 vaccine he received.,-1,Negative
   So do the issues present themselves with covid too or are the only vaccine related Who is verifying this We know the side effects they are out there but they are easily manipulated too.,-1,Negative
"The Philippines on Wednesday logged the lowest COVID19 daily tally this year with 580 new infections, bringing the country’s caseload to 3,669,283.",-1,Negative
Architect of Swedens lighttouch Covid response gets job at WHO | Malay Mail ,0,Neutral
     I know probably 3 or 4x the amount of people that have suffered adverse reactions including death from the injections versus people that have had covid and resolved (myself included) that would disagree with you.And the long term adverse affects of the shots are to come.,-5,Very Negative
"NYT admits Vaccines Masks, Staying At Home Did Not Make A Major Difference In COVID Case Rates ",0,Neutral
Englands Covid riddled failing old taxpayer funded Queen is hiring a royal housekeeping assistant  and the job could be yours if you are stupid - Reuters  ,-2,Negative
" logged 147 fresh  cases 2 deaths With 387 recoveries, the active cases in the state went below 2,000 mark.For more LIVE updates from the state and  : ",1,Positive
"What strongly motivated our psychopathic leaders into supporting Ukrainians has nothing to do with Russia. It's a convenient excuse for our of control prices (inflation) and a distraction from their failed covid totalitarianism. Don't be one of their ""Muppets"".",0,Neutral
 The people who believed in COVID rolled over during lockdowns and blindly accepted the toxic vaccines are the ones who are enabling these new laws”,-1,Negative
"These professors are other humans beings who are trying to get by - John Mark (CC stu), reflecting on the humanity of educators persevering thru COVIDGesenia (HS stu) + Audra (uni stu) +     ",0,Neutral
"I completed my degree two years ago but thanks to Covid was never able to have my official ceremony Well, it was long overdue but today it finally happened...I GRADUATED! ",0,Neutral
� ����: Covid-19 'having big impact' on emergency departments ,-1,Negative
" That woman is fucking psychoticAll she does is tweet nonstop about COVID, being 'cautious', and its long-term effects. She even turned off replies to the above Tweet, and span some narrative about the replies already there all being coordinated and/or bots.",-1,Negative
"Coogler was dressed in a hat sunglasses, and COVID face mask at the time of the incident.”��� ",0,Neutral
   I mean ya it does protect you to the effect you probably wont fuckin diebut to like actually beat covid you have to have a majority of the population vaccinated. It’s been that way since the start. Anyone who told you different is misinformed,1,Positive
     Look up base rate fallacy’ because each and every condemning fairytale story or article is strictly based on it.They always completely discount those who the vaccines did a great job for- which grossly outnumber the small percentages otherwise. ,-2,Negative
"   More stupid divisive lies. He was never in a bunker. He was at an official Prime Minister's residence, isolating with his family with Covid.  We all knew where he was.",-3,Negative
"Whether this site is within its rights is not the question COVID changed how we live ; work. Many are WFH for good. Our laws need to evolve, too. I demand REAL action ; legislation for noise mitigation, like limiting the hrs of noise ; using sound barriers, which exist. (5/8)",1,Positive
    weird how liberals dont care about how deadly covid is when it comes to letting millions of illegal aliens pour through the border,-3,Negative
So trueThrown out for good.It is al bad.Now still  has to suspend their  people over 50 years who refuse to    are suspended from work without pay. 1.500.000+ people!!! ,0,Neutral
  Its the 400 lb grizzly that sits quietly in the room Getting to know covid's similar to teach young virgins how to live happily with a psychopathic murderer.,0,Neutral
Pfizer starts Phase 23 trial of COVID19 antiviral pill for pediatric patients ,0,Neutral
"   Wow you work in wellness and you cant understand the basic science behind masking when an airborne virus continues to circulate? If we improve ventilation + mask, THAT is living with COVID. Did we live with cholera by continuing to drink fecal tainted water and ��?",1,Positive
" Inside Health I can't believe that the BBC is still pushing the propaganda around Covid. They never report the large numbers of deaths ; severe adverse reactions due to the injections, worldwide. We also know that masks don't work at all. The BBC is so irresponsible.",-3,Negative
Sorry but having covid is cringe now,-2,Negative
WHO says COVID boosters needed reversing previous call  ABC News ,0,Neutral
"Beltway Insider BidenSOTU, Jobs, COVID/Vaccine Totals, Ukraine War, EU Crisis, Refugees ",-1,Negative
 my covid gave me hypersomnia,0,Neutral
 My friend is a retired healthcare worker now a flight attendant so she can travel She can’t get that mask off soon enough. 1. They all had Covid in 2020 2. They still got vaccinated. 3. It’s hell being the mask police. “Rip off the bandaid and let us serve alcohol.”,-1,Negative
 Using taxpayer money to send tests to people who dont need them during a time when COVID is all but vanquished then patting themselves on the back. This is such a perfect microcosm of US government.  I love it. �,2,Positive
 I guess Im paranoid too! definitely isn't over!,-1,Negative
    You think buying a ticket gives untalented fucks like you the right to yell at athletes doing their job It doesn’t. It just makes you a jackass! Covid proved that sports will still be successful ans make money without  jackass fans in the stands. Sorry if that pisses you off.,3,Positive
"Covideverywhere as a policy:- No masks, limited testing, no access to treatments, no sanitation.- Results -- ~1% will be seriously harmed. As high as 10% may have 1 symptom that lasts more than 6 weeks.- The security of the person right is eliminated for anyone under 5.",-2,Negative
FIG budgeted CHF 300000 for athletes coaches and judges who had to pay high medical costs not covered by any kind of insurance when getting Covid. Application:,0,Neutral
Early voting for voters with Covid19. A trash bag is the ballot box! ,-1,Negative
    People do And fence sitters stop it. Remember that covid would not have been as huge of an issue if America had a functional health care system.,-1,Negative
Researchers Identify Possible New Treatment for Covid,0,Neutral
The moment hospitals get blatantly pummeled we’re going to start hearing about 4th doses. The strategy was and always has been vaccines. And it’s not working.   ,-1,Negative
WH.O. Bolsters Booster Endorsement but Still Emphasizes More Primary Shots - The New York Times ,1,Positive
"Today is the first day I realised that asthma actually means covid is a much bigger issue for me Luckily I already plan to stay vaccinated and keep refreshing it, since I will get covid at some point anyway, just making sure to be prepared to survive it.",0,Neutral
As far as the official source goes that I got handed out in my info for the exams this month people with asthma or some other illness) are more likely to have a worse time with the virus. I could even ask to get a different date to have less contact if I was worried about covid,-4,Negative
     How many kids have died from Covid because they went to school without a mask Chris We will all for you  and LouisvilleMaskDad guy right here,0,Neutral
"Delighted to have our  work in the  today  ""the vicious cycle of poor health and poverty we identify should lead policymakers to consider early, decisive interventions to break this downward spiral"" ",0,Neutral
"for 5 yearsTrue: disabled are covered by substantially less that people realize.  Many medical needs must come from the whopping $1169. max allowance our government so generously gives us.True: Ableism is worse than covid, so many justify treating disabled like they don't have",-1,Negative
 So sorry and angry to see this Simon  and  should ask   why they are supporting ‘Catholic Truth’ with its grossly homophobic politics and most extreme form of anti-COVID conspiracy. Just check out their newsletter.,-3,Negative
"It's about fucking time!""""Let's get back to normal""Like covid hasn't gone away? The virius is mutating all the fucking time? People are still getting sick and dying what is wrong with y'all???",-5,Very Negative
really happy the CERB exists because as an hourly worker catching COVID meant I wasn't getting paid for most of last week and most of this week too.,1,Positive
Covid cases ticking up in the UK,0,Neutral
 Sirno not  u crack jokes at parliament can we talk real issues Ukraine war   high cost of living and COVID cases not declining and health system under pressure,-3,Negative
"Related  and I have been trying to get some questions answered by the Health Department and schools to no avail When I saw the BMDSchoolsPRguy account tweeting misleading information about vaccines, Omicron, and Long Covid, I reached out. 4/",-1,Negative
   Weve been lied to about covid for 3 years if you wanna believe the propaganda machines of the UK. USA and UN that’s fine mate your still a fellow human to me.,-1,Negative
